pieceId,connectionPointId,view,localX,localXPorParam,paramX,localY,localYPorParam,paramY
PLACA_BASE_DE_CABECERA_ATORNILLABLE_DE_PLACA_CALIBRE_3_16,MONTAJE_POSTE,FRONTAL,0,0,,0.2798,0,
PLACA_BASE_DE_CABECERA_ATORNILLABLE_DE_PLACA_CALIBRE_3_16,MONTAJE_POSTE,LATERAL,0,0,,0.1875,0,
PLACA_BASE_DE_CABECERA_ATORNILLABLE_DE_PLACA_CALIBRE_3_16,MONTAJE_POSTE,PLANTA,0.3897,0,,0,0,
TRAVESANO_PARA_POSTE_OMEGA_DE_CINTA_CALIBRE_14,CELOSIA,PLANTA,0.75,0,,0,0,
TRAVESANO_PARA_POSTE_OMEGA_DE_CINTA_CALIBRE_14,CELOSIA,LATERAL,0.75,0,,0.4752,0,
POSTE_OMEGA_ATORNILLABLE_CON_TROQUEL_GOTA_DE_AGUA,TROQUEL_CELOSIA,LATERAL,2.3438,0,,1.5938,0,
POSTE_OMEGA_ATORNILLABLE_CON_TROQUEL_GOTA_DE_AGUA,TROQUEL_CELOSIA,PLANTA,2.3438,0,,0,0,
POSTE_OMEGA_ATORNILLABLE_CON_TROQUEL_GOTA_DE_AGUA,FIN_POSTE,LATERAL,3,0,,0,0,
POSTE_OMEGA_ATORNILLABLE_CON_TROQUEL_GOTA_DE_AGUA,TROQUEL_TOPE,LATERAL,0.875,0,,2.1563,0,
POSTE_OMEGA_ATORNILLABLE_CON_TROQUEL_GOTA_DE_AGUA,TROQUEL_SEPARADOR,LATERAL,0.875,0,,2.1563,0,
POSTE_OMEGA_ATORNILLABLE_CON_TROQUEL_GOTA_DE_AGUA,TROQUEL_TOPE,FRONTAL,0,0.5,PERALTE,2.1563,0,
POSTE_OMEGA_ATORNILLABLE_CON_TROQUEL_GOTA_DE_AGUA,TROQUEL_TOPE,PLANTA,0.875,0,,0,0.5,PERALTE
POSTE_OMEGA_ATORNILLABLE_CON_TROQUEL_GOTA_DE_AGUA,TROQUEL_SEPARADOR,PLANTA,0.875,0,,0,-0.5,PERALTE
SEPARADOR_DE_CABECERA_FORMADA_DE_CINTA_CALIBRE_12,TROQUEL_CABECERA,FRONTAL,0.625,0,,0.6875,0,
SEPARADOR_DE_CABECERA_FORMADA_DE_CINTA_CALIBRE_12,TROQUEL_CABECERA,PLANTA,0.625,0,,0.0747,0,
RIEL_DE_CINTA_CALIBRE_12,TROQUEL_TOPE,LATERAL,0.5,0,,2.75,0,
POSTE_OMEGA_ATORNILLABLE_CON_TROQUEL_GOTA_DE_AGUA,TROQUEL_LARGUERO,PLANTA,0,0,,-0.75,0.5,PERALTE
POSTE_OMEGA_ATORNILLABLE_CON_TROQUEL_GOTA_DE_AGUA,TROQUEL_LARGUERO,FRONTAL,-0.75,0.5,PERALTE,0.6053,0,
LARGUERO_ESCALON_CAL14_3_REMACHES,INICIO_PERFIL,FRONTAL,1,0,,4.9375,0,
LARGUERO_ESCALON_CAL14_3_REMACHES,INICIO_PERFIL,PLANTA,0.125,0,,1,0,
LARGUERO_ESCALON_INFINITO,INICIO_PERFIL,PLANTA,0.1187,0,,1.0514,0,
LARGUERO_ESCALON_INFINITO,INICIO_PERFIL,FRONTAL,1.0514,0,,6.3437,0,
LARGUERO_ESCALON_INFINITO,INICIO_IZQUIERDO,LATERAL,0.2214,0,,6.1972,0,
LARGUERO_ESCALON_INFINITO,INICIO_DERECHO,LATERAL,1.5095,0,,6.1972,0,
LARGUERO_IN_OUT_C6,INICIO_PERFIL,PLANTA,-0.15,0,,0.98,0,
LARGUERO_IN_OUT_C6,INICIO_PERFIL,FRONTAL,0.997,0,,5,0,
LARGUERO_IN_OUT_C6,TROQUEL_CAMA,LATERAL,3.7544,0,,1.8783,0,
RIEL_DE_CINTA_CALIBRE_12,TROQUEL_IN,LATERAL,1.5,0,,1.25,0,
DEFENSA_MONTACARGAS,ORIGEN_POSTE,LATERAL,-4.75,0,,0,0,
DEFENSA_MONTACARGAS,ORIGEN_POSTE,PLANTA,-4.75,0,,0,0,
DEFENSA_MONTACARGAS,ORIGEN_POSTE,FRONTAL,0,0,,0,0,
LARGUERO_ESCALON_TROQUEL_REDONDO,INICIO_PERFIL,PLANTA,0.0375,0,,0.98,0,
LARGUERO_ESCALON_TROQUEL_REDONDO,INICIO_PERFIL,FRONTAL,0.997,0,,6.8125,0,
LARGUERO_ESCALON_TROQUEL_REDONDO,INICIO_IZQUIERDO,LATERAL,0.1549,0,,6.8125,0,
LARGUERO_ESCALON_TROQUEL_REDONDO,INICIO_DERECHO,LATERAL,1.447,0,,6.8125,0,
