sectionId,family,ediDesignation,manualLabel,sourceId,sourceRevision,weightPerLength,nativeUnitSystem,A,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,d,ddet,bf,bfdet,tw,twdet,twdet_2,tf,tfdet,kdes,kdet,x,eo,xp,T,WGi,Cw,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,rts,ho,PA,PB,PC,PD
AISC-C-C10X15_3,C,C10X15.3,C10X15.3,AISC-SHAPES,16.0,15.3,US_CUSTOMARY,4.48,67.3,15.9,13.5,3.88,2.27,2.34,1.15,0.711,0.209,10,10,2.6,2.625,0.24,0.25,0.125,0.436,0.4375,1,1.0625,0.634,0.796,0.224,8,1.5,45.5,7.48,2.55,1.67,0.841,4.92,7.92,4.19,0.884,0.868,9.56,26.8,29.4,22.6,25.2
AISC-C-C10X20,C,C10X20,C10X20,AISC-SHAPES,16.0,20,US_CUSTOMARY,5.87,78.9,19.4,15.8,3.67,2.8,2.7,1.31,0.69,0.368,10,10,2.74,2.75,0.379,0.375,0.1875,0.436,0.4375,1,1.0625,0.606,0.636,0.294,8,1.5,56.9,8.25,3.1,2.39,1.18,4.92,9.66,3.93,0.9,0.894,9.56,27.2,29.9,22.7,25.5
AISC-C-C10X25,C,C10X25,C10X25,AISC-SHAPES,16.0,25,US_CUSTOMARY,7.35,91.1,23.1,18.2,3.52,3.34,3.18,1.47,0.675,0.687,10,10,2.89,2.875,0.526,0.5,0.25,0.436,0.4375,1,1.0625,0.617,0.494,0.367,8,1.75,68.3,8.94,3.64,3.05,1.5,4.93,11.5,3.76,0.912,0.911,9.56,27.6,30.5,22.9,25.8
AISC-C-C10X30,C,C10X30,C10X30,AISC-SHAPES,16.0,30,US_CUSTOMARY,8.81,103,26.7,20.7,3.43,3.93,3.78,1.65,0.668,1.22,10,10,3.03,3,0.673,0.6875,0.375,0.436,0.4375,1,1.0625,0.649,0.368,0.441,8,1.75,79.5,9.51,4.12,3.61,1.81,4.91,13.3,3.63,0.921,0.924,9.56,28,31,23,26.1
AISC-C-C12X20_7,C,C12X20.7,C12X20.7,AISC-SHAPES,16.0,20.7,US_CUSTOMARY,6.08,129,25.6,21.5,4.61,3.86,3.47,1.72,0.797,0.369,12,12,2.94,3,0.282,0.3125,0.1875,0.501,0.5,1.13,1.125,0.698,0.87,0.253,9.75,1.75,112,10.3,4.6,3.13,1.58,7.66,12.7,4.93,0.899,0.983,11.5,31.7,34.6,26.9,29.9
AISC-C-C12X25,C,C12X25,C12X25,AISC-SHAPES,16.0,25,US_CUSTOMARY,7.34,144,29.4,24,4.43,4.45,3.82,1.87,0.779,0.538,12,12,3.05,3,0.387,0.375,0.1875,0.501,0.5,1.13,1.125,0.674,0.746,0.306,9.75,1.75,130,11,5.29,4.02,1.99,7.67,14.6,4.72,0.909,1,11.5,32,35,27.1,30.1
AISC-C-C12X30,C,C12X30,C12X30,AISC-SHAPES,16.0,30,US_CUSTOMARY,8.81,162,33.8,27,4.29,5.12,4.32,2.05,0.762,0.861,12,12,3.17,3.125,0.51,0.5,0.25,0.501,0.5,1.13,1.125,0.674,0.618,0.367,9.75,1.75,151,11.7,6.01,4.91,2.45,7.66,16.8,4.54,0.919,1.01,11.5,32.3,35.5,27.2,30.3
AISC-C-C15X33_9,C,C15X33.9,C15X33.9,AISC-SHAPES,16.0,33.9,US_CUSTOMARY,10,315,50.8,42,5.61,8.07,6.19,3.09,0.901,1.01,15,15,3.4,3.375,0.4,0.375,0.1875,0.65,0.625,1.44,1.4375,0.788,0.896,0.332,12.125,2,358,15.1,10.4,7.55,3.81,14,25.2,5.94,0.92,1.13,14.4,38.8,42.2,33.4,36.8
AISC-C-C15X40,C,C15X40,C15X40,AISC-SHAPES,16.0,40,US_CUSTOMARY,11.8,348,57.5,46.5,5.43,9.17,6.84,3.34,0.883,1.45,15,15,3.52,3.5,0.52,0.5,0.25,0.65,0.625,1.44,1.4375,0.778,0.767,0.392,12.125,2,410,16,11.7,9.2,4.64,14,28.6,5.71,0.927,1.15,14.4,39.2,42.7,33.5,37
AISC-C-C15X50,C,C15X50,C15X50,AISC-SHAPES,16.0,50,US_CUSTOMARY,14.7,404,68.5,53.8,5.24,11,8.14,3.77,0.865,2.65,15,15,3.72,3.75,0.716,0.6875,0.375,0.65,0.625,1.44,1.4375,0.799,0.583,0.49,12.125,2.25,492,17.4,13.7,11.6,5.86,14,34.1,5.49,0.937,1.17,14.4,39.7,43.4,33.7,37.4
