sectionId,family,ediDesignation,manualLabel,sourceId,sourceRevision,weightPerLength,nativeUnitSystem,A,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Ht,B,h,b,tnom,tdes,C
AISC-HSS-RECT-HSS10X10X_188,HSS-RECT,HSS10X10X.188,HSS10X10X3/16,AISC-SHAPES,16.0,24.73,US_CUSTOMARY,6.76,108,24.8,21.6,4,108,24.8,21.6,4,167,10,10,9.48,9.48,0.1875,0.174,33.6
AISC-HSS-RECT-HSS10X10X_250,HSS-RECT,HSS10X10X.250,HSS10X10X1/4,AISC-SHAPES,16.0,32.63,US_CUSTOMARY,8.96,141,32.7,28.3,3.97,141,32.7,28.3,3.97,220,10,10,9.3,9.3,0.25,0.233,44.4
AISC-HSS-RECT-HSS10X10X_313,HSS-RECT,HSS10X10X.313,HSS10X10X5/16,AISC-SHAPES,16.0,40.35,US_CUSTOMARY,11.1,172,40.1,34.5,3.94,172,40.1,34.5,3.94,271,10,10,9.13,9.13,0.3125,0.291,54.8
AISC-HSS-RECT-HSS10X10X_375,HSS-RECT,HSS10X10X.375,HSS10X10X3/8,AISC-SHAPES,16.0,47.9,US_CUSTOMARY,13.2,202,47.2,40.4,3.92,202,47.2,40.4,3.92,320,10,10,8.95,8.95,0.375,0.349,64.8
AISC-HSS-RECT-HSS10X10X_500,HSS-RECT,HSS10X10X.500,HSS10X10X1/2,AISC-SHAPES,16.0,62.46,US_CUSTOMARY,17.2,256,60.7,51.2,3.86,256,60.7,51.2,3.86,412,10,10,8.6,8.6,0.5,0.465,84.2
AISC-HSS-RECT-HSS10X10X_625,HSS-RECT,HSS10X10X.625,HSS10X10X5/8,AISC-SHAPES,16.0,76.33,US_CUSTOMARY,21,304,73.2,60.8,3.8,304,73.2,60.8,3.8,498,10,10,8.26,8.26,0.625,0.581,102
AISC-HSS-RECT-HSS10X10X_750,HSS-RECT,HSS10X10X.750,HSS10X10X3/4,AISC-SHAPES,16.0,89.5,US_CUSTOMARY,24.7,347,84.7,69.4,3.75,347,84.7,69.4,3.75,578,10,10,7.91,7.91,0.75,0.698,119
AISC-HSS-RECT-HSS10X2X_125,HSS-RECT,HSS10X2X.125,HSS10X2X1/8,AISC-SHAPES,16.0,9.86,US_CUSTOMARY,2.7,28.5,7.65,5.7,3.25,2.14,2.33,2.14,0.89,6.9,10,2,9.65,1.65,0.125,0.116,4.31
AISC-HSS-RECT-HSS10X2X_188,HSS-RECT,HSS10X2X.188,HSS10X2X3/16,AISC-SHAPES,16.0,14.53,US_CUSTOMARY,3.98,41,11.1,8.19,3.21,2.97,3.34,2.97,0.864,9.74,10,2,9.48,1.48,0.1875,0.174,6.22
AISC-HSS-RECT-HSS10X2X_250,HSS-RECT,HSS10X2X.250,HSS10X2X1/4,AISC-SHAPES,16.0,19.02,US_CUSTOMARY,5.24,52.5,14.4,10.5,3.17,3.67,4.26,3.67,0.838,12.2,10,2,9.3,1.3,0.25,0.233,7.99
AISC-HSS-RECT-HSS10X2X_313,HSS-RECT,HSS10X2X.313,HSS10X2X5/16,AISC-SHAPES,16.0,23.34,US_CUSTOMARY,6.43,62.6,17.5,12.5,3.12,4.24,5.06,4.24,0.812,14.2,10,2,9.13,1.13,0.3125,0.291,9.56
AISC-HSS-RECT-HSS10X2X_375,HSS-RECT,HSS10X2X.375,HSS10X2X3/8,AISC-SHAPES,16.0,27.48,US_CUSTOMARY,7.58,71.7,20.3,14.3,3.08,4.7,5.76,4.7,0.787,15.9,10,2,8.95,0.953,0.375,0.349,11
AISC-HSS-RECT-HSS10X3X_125,HSS-RECT,HSS10X3X.125,HSS10X3X1/8,AISC-SHAPES,16.0,10.71,US_CUSTOMARY,2.93,34.2,8.8,6.83,3.42,5.16,3.74,3.44,1.33,14.9,10,3,9.65,2.65,0.125,0.116,6.61
AISC-HSS-RECT-HSS10X3X_188,HSS-RECT,HSS10X3X.188,HSS10X3X3/16,AISC-SHAPES,16.0,15.8,US_CUSTOMARY,4.32,49.4,12.8,9.87,3.38,7.33,5.41,4.89,1.3,21.5,10,3,9.48,2.48,0.1875,0.174,9.64
AISC-HSS-RECT-HSS10X3X_250,HSS-RECT,HSS10X3X.250,HSS10X3X1/4,AISC-SHAPES,16.0,20.72,US_CUSTOMARY,5.7,63.6,16.7,12.7,3.34,9.28,6.99,6.19,1.28,27.6,10,3,9.3,2.3,0.25,0.233,12.5
AISC-HSS-RECT-HSS10X3X_313,HSS-RECT,HSS10X3X.313,HSS10X3X5/16,AISC-SHAPES,16.0,25.46,US_CUSTOMARY,7.01,76.3,20.3,15.3,3.3,11,8.42,7.3,1.25,33,10,3,9.13,2.13,0.3125,0.291,15.2
AISC-HSS-RECT-HSS10X3X_375,HSS-RECT,HSS10X3X.375,HSS10X3X3/8,AISC-SHAPES,16.0,30.03,US_CUSTOMARY,8.27,88,23.7,17.6,3.26,12.4,9.73,8.28,1.22,37.8,10,3,8.95,1.95,0.375,0.349,17.7
AISC-HSS-RECT-HSS10X3_1_2X_188,HSS-RECT,HSS10X3-1/2X.188,HSS10X3-1/2X3/16,AISC-SHAPES,16.0,16.44,US_CUSTOMARY,4.5,53.6,13.7,10.7,3.45,10.3,6.52,5.89,1.51,28.6,10,3.5,9.48,2.98,0.1875,0.174,11.4
AISC-HSS-RECT-HSS10X3_1_2X_250,HSS-RECT,HSS10X3-1/2X.250,HSS10X3-1/2X1/4,AISC-SHAPES,16.0,21.57,US_CUSTOMARY,5.93,69.1,17.9,13.8,3.41,13.1,8.45,7.51,1.49,37,10,3.5,9.3,2.8,0.25,0.233,14.8
AISC-HSS-RECT-HSS10X3_1_2X_313,HSS-RECT,HSS10X3-1/2X.313,HSS10X3-1/2X5/16,AISC-SHAPES,16.0,26.53,US_CUSTOMARY,7.3,83.2,21.7,16.6,3.38,15.6,10.2,8.92,1.46,44.6,10,3.5,9.13,2.63,0.3125,0.291,18
AISC-HSS-RECT-HSS10X3_1_2X_375,HSS-RECT,HSS10X3-1/2X.375,HSS10X3-1/2X3/8,AISC-SHAPES,16.0,31.31,US_CUSTOMARY,8.62,96.1,25.3,19.2,3.34,17.8,11.8,10.2,1.44,51.5,10,3.5,8.95,2.45,0.375,0.349,21.1
AISC-HSS-RECT-HSS10X4X_125,HSS-RECT,HSS10X4X.125,HSS10X4X1/8,AISC-SHAPES,16.0,11.56,US_CUSTOMARY,3.16,39.8,10,7.97,3.55,9.65,5.26,4.83,1.75,25.1,10,4,9.65,3.65,0.125,0.116,8.9
AISC-HSS-RECT-HSS10X4X_188,HSS-RECT,HSS10X4X.188,HSS10X4X3/16,AISC-SHAPES,16.0,17.08,US_CUSTOMARY,4.67,57.8,14.6,11.6,3.52,13.9,7.66,6.93,1.72,36.5,10,4,9.48,3.48,0.1875,0.174,13.1
AISC-HSS-RECT-HSS10X4X_250,HSS-RECT,HSS10X4X.250,HSS10X4X1/4,AISC-SHAPES,16.0,22.42,US_CUSTOMARY,6.17,74.7,19,14.9,3.48,17.7,10,8.87,1.7,47.4,10,4,9.3,3.3,0.25,0.233,17.1
AISC-HSS-RECT-HSS10X4X_313,HSS-RECT,HSS10X4X.313,HSS10X4X5/16,AISC-SHAPES,16.0,27.59,US_CUSTOMARY,7.59,90.1,23.1,18,3.44,21.2,12.1,10.6,1.67,57.3,10,4,9.13,3.13,0.3125,0.291,20.9
AISC-HSS-RECT-HSS10X4X_375,HSS-RECT,HSS10X4X.375,HSS10X4X3/8,AISC-SHAPES,16.0,32.58,US_CUSTOMARY,8.97,104,27,20.8,3.41,24.3,14,12.1,1.64,66.5,10,4,8.95,2.95,0.375,0.349,24.4
AISC-HSS-RECT-HSS10X4X_500,HSS-RECT,HSS10X4X.500,HSS10X4X1/2,AISC-SHAPES,16.0,42.05,US_CUSTOMARY,11.6,129,34.1,25.8,3.34,29.5,17.6,14.7,1.59,82.6,10,4,8.6,2.6,0.5,0.465,31
AISC-HSS-RECT-HSS10X4X_625,HSS-RECT,HSS10X4X.625,HSS10X4X5/8,AISC-SHAPES,16.0,50.81,US_CUSTOMARY,14,149,40.3,29.9,3.26,33.5,20.6,16.8,1.54,95.7,10,4,8.26,2.26,0.625,0.581,36.7
AISC-HSS-RECT-HSS10X5X_250,HSS-RECT,HSS10X5X.250,HSS10X5X1/4,AISC-SHAPES,16.0,24.12,US_CUSTOMARY,6.63,85.8,21.3,17.2,3.6,29.3,13.2,11.7,2.1,70.7,10,5,9.3,4.3,0.25,0.233,21.6
AISC-HSS-RECT-HSS10X5X_313,HSS-RECT,HSS10X5X.313,HSS10X5X5/16,AISC-SHAPES,16.0,29.72,US_CUSTOMARY,8.17,104,26,20.8,3.56,35.2,16,14.1,2.07,86,10,5,9.13,4.13,0.3125,0.291,26.5
AISC-HSS-RECT-HSS10X5X_375,HSS-RECT,HSS10X5X.375,HSS10X5X3/8,AISC-SHAPES,16.0,35.13,US_CUSTOMARY,9.67,120,30.4,24.1,3.53,40.6,18.7,16.2,2.05,100,10,5,8.95,3.95,0.375,0.349,31.2
AISC-HSS-RECT-HSS10X6X_188,HSS-RECT,HSS10X6X.188,HSS10X6X3/16,AISC-SHAPES,16.0,19.63,US_CUSTOMARY,5.37,74.6,18,14.9,3.73,34.1,12.7,11.4,2.52,73.8,10,6,9.48,5.48,0.1875,0.174,19.9
AISC-HSS-RECT-HSS10X6X_250,HSS-RECT,HSS10X6X.250,HSS10X6X1/4,AISC-SHAPES,16.0,25.82,US_CUSTOMARY,7.1,96.9,23.6,19.4,3.69,44.1,16.6,14.7,2.49,96.7,10,6,9.3,5.3,0.25,0.233,26.2
AISC-HSS-RECT-HSS10X6X_313,HSS-RECT,HSS10X6X.313,HSS10X6X5/16,AISC-SHAPES,16.0,31.84,US_CUSTOMARY,8.76,118,28.8,23.5,3.66,53.3,20.2,17.8,2.47,118,10,6,9.13,5.13,0.3125,0.291,32.2
AISC-HSS-RECT-HSS10X6X_375,HSS-RECT,HSS10X6X.375,HSS10X6X3/8,AISC-SHAPES,16.0,37.69,US_CUSTOMARY,10.4,137,33.8,27.4,3.63,61.8,23.7,20.6,2.44,139,10,6,8.95,4.95,0.375,0.349,37.9
AISC-HSS-RECT-HSS10X6X_500,HSS-RECT,HSS10X6X.500,HSS10X6X1/2,AISC-SHAPES,16.0,48.85,US_CUSTOMARY,13.5,171,43,34.3,3.57,76.8,30.1,25.6,2.39,176,10,6,8.6,4.61,0.5,0.465,48.7
AISC-HSS-RECT-HSS10X6X_625,HSS-RECT,HSS10X6X.625,HSS10X6X5/8,AISC-SHAPES,16.0,59.32,US_CUSTOMARY,16.4,201,51.3,40.2,3.5,89.4,35.8,29.8,2.34,209,10,6,8.26,4.26,0.625,0.581,58.6
AISC-HSS-RECT-HSS10X8X_188,HSS-RECT,HSS10X8X.188,HSS10X8X3/16,AISC-SHAPES,16.0,22.18,US_CUSTOMARY,6.06,91.4,21.4,18.3,3.88,65.1,18.4,16.3,3.28,118,10,8,9.48,7.48,0.1875,0.174,26.7
AISC-HSS-RECT-HSS10X8X_250,HSS-RECT,HSS10X8X.250,HSS10X8X1/4,AISC-SHAPES,16.0,29.23,US_CUSTOMARY,8.03,119,28.1,23.8,3.85,84.7,24.2,21.2,3.25,155,10,8,9.3,7.3,0.25,0.233,35.3
AISC-HSS-RECT-HSS10X8X_313,HSS-RECT,HSS10X8X.313,HSS10X8X5/16,AISC-SHAPES,16.0,36.1,US_CUSTOMARY,9.92,145,34.4,29,3.82,103,29.6,25.7,3.22,190,10,8,9.13,7.13,0.3125,0.291,43.5
AISC-HSS-RECT-HSS10X8X_375,HSS-RECT,HSS10X8X.375,HSS10X8X3/8,AISC-SHAPES,16.0,42.79,US_CUSTOMARY,11.8,169,40.5,33.9,3.79,120,34.8,30,3.19,224,10,8,8.95,6.95,0.375,0.349,51.4
AISC-HSS-RECT-HSS10X8X_500,HSS-RECT,HSS10X8X.500,HSS10X8X1/2,AISC-SHAPES,16.0,55.66,US_CUSTOMARY,15.3,214,51.9,42.7,3.73,151,44.5,37.8,3.14,288,10,8,8.6,6.6,0.5,0.465,66.4
AISC-HSS-RECT-HSS10X8X_625,HSS-RECT,HSS10X8X.625,HSS10X8X5/8,AISC-SHAPES,16.0,67.82,US_CUSTOMARY,18.7,253,62.2,50.5,3.68,178,53.3,44.5,3.09,346,10,8,8.26,6.26,0.625,0.581,80.4
AISC-HSS-RECT-HSS12X10X_188,HSS-RECT,HSS12X10X.188,HSS12X10X3/16,AISC-SHAPES,16.0,27.29,US_CUSTOMARY,7.46,165,31.9,27.5,4.7,125,28.2,25,4.09,219,12,10,11.5,9.48,0.1875,0.174,40.4
AISC-HSS-RECT-HSS12X10X_250,HSS-RECT,HSS12X10X.250,HSS12X10X1/4,AISC-SHAPES,16.0,36.03,US_CUSTOMARY,9.9,216,42.1,36,4.67,164,37.2,32.7,4.07,289,12,10,11.3,9.3,0.25,0.233,53.5
AISC-HSS-RECT-HSS12X10X_313,HSS-RECT,HSS12X10X.313,HSS12X10X5/16,AISC-SHAPES,16.0,44.6,US_CUSTOMARY,12.2,264,51.7,44,4.64,200,45.7,40,4.04,356,12,10,11.1,9.13,0.3125,0.291,66.1
AISC-HSS-RECT-HSS12X10X_375,HSS-RECT,HSS12X10X.375,HSS12X10X3/8,AISC-SHAPES,16.0,53,US_CUSTOMARY,14.6,310,61.1,51.6,4.61,234,54,46.9,4.01,421,12,10,11,8.95,0.375,0.349,78.3
AISC-HSS-RECT-HSS12X10X_500,HSS-RECT,HSS12X10X.500,HSS12X10X1/2,AISC-SHAPES,16.0,69.27,US_CUSTOMARY,19,395,78.8,65.9,4.56,298,69.6,59.7,3.96,545,12,10,10.6,8.6,0.5,0.465,102
AISC-HSS-RECT-HSS12X10X_625,HSS-RECT,HSS12X10X.625,HSS12X10X5/8,AISC-SHAPES,16.0,84.84,US_CUSTOMARY,23.3,472,95.3,78.7,4.5,356,84.1,71.2,3.9,661,12,10,10.3,8.26,0.625,0.581,124
AISC-HSS-RECT-HSS12X12X1,HSS-RECT,HSS12X12X1,HSS12X12X1,AISC-SHAPES,16.0,140.96,US_CUSTOMARY,39,772,158,129,4.45,772,158,129,4.45,1300,12,12,9.21,9.21,1,0.93,225
AISC-HSS-RECT-HSS12X12X_188,HSS-RECT,HSS12X12X.188,HSS12X12X3/16,AISC-SHAPES,16.0,29.84,US_CUSTOMARY,8.15,189,36,31.5,4.82,189,36,31.5,4.82,290,12,12,11.5,11.5,0.1875,0.174,48.6
AISC-HSS-RECT-HSS12X12X_250,HSS-RECT,HSS12X12X.250,HSS12X12X1/4,AISC-SHAPES,16.0,39.43,US_CUSTOMARY,10.8,248,47.6,41.4,4.79,248,47.6,41.4,4.79,384,12,12,11.3,11.3,0.25,0.233,64.5
AISC-HSS-RECT-HSS12X12X_313,HSS-RECT,HSS12X12X.313,HSS12X12X5/16,AISC-SHAPES,16.0,48.86,US_CUSTOMARY,13.4,304,58.6,50.7,4.76,304,58.6,50.7,4.76,474,12,12,11.1,11.1,0.3125,0.291,79.7
AISC-HSS-RECT-HSS12X12X_375,HSS-RECT,HSS12X12X.375,HSS12X12X3/8,AISC-SHAPES,16.0,58.1,US_CUSTOMARY,16,357,69.2,59.5,4.73,357,69.2,59.5,4.73,561,12,12,11,11,0.375,0.349,94.6
AISC-HSS-RECT-HSS12X12X_500,HSS-RECT,HSS12X12X.500,HSS12X12X1/2,AISC-SHAPES,16.0,76.07,US_CUSTOMARY,20.9,457,89.6,76.2,4.68,457,89.6,76.2,4.68,728,12,12,10.6,10.6,0.5,0.465,123
AISC-HSS-RECT-HSS12X12X_625,HSS-RECT,HSS12X12X.625,HSS12X12X5/8,AISC-SHAPES,16.0,93.34,US_CUSTOMARY,25.7,548,109,91.4,4.62,548,109,91.4,4.62,885,12,12,10.3,10.3,0.625,0.581,151
AISC-HSS-RECT-HSS12X12X_750,HSS-RECT,HSS12X12X.750,HSS12X12X3/4,AISC-SHAPES,16.0,109.91,US_CUSTOMARY,30.3,631,127,105,4.56,631,127,105,4.56,1030,12,12,9.91,9.91,0.75,0.698,177
AISC-HSS-RECT-HSS12X12X_875,HSS-RECT,HSS12X12X.875,HSS12X12X7/8,AISC-SHAPES,16.0,125.79,US_CUSTOMARY,34.7,706,143,118,4.51,706,143,118,4.51,1170,12,12,9.56,9.56,0.875,0.814,202
AISC-HSS-RECT-HSS12X2X_188,HSS-RECT,HSS12X2X.188,HSS12X2X3/16,AISC-SHAPES,16.0,17.08,US_CUSTOMARY,4.67,67.4,15.5,11.2,3.8,3.55,3.97,3.55,0.872,12,12,2,11.5,1.48,0.1875,0.174,7.49
AISC-HSS-RECT-HSS12X2X_250,HSS-RECT,HSS12X2X.250,HSS12X2X1/4,AISC-SHAPES,16.0,22.42,US_CUSTOMARY,6.17,86.9,20.1,14.5,3.75,4.41,5.08,4.41,0.845,15.1,12,2,11.3,1.3,0.25,0.233,9.64
AISC-HSS-RECT-HSS12X2X_313,HSS-RECT,HSS12X2X.313,HSS12X2X5/16,AISC-SHAPES,16.0,27.59,US_CUSTOMARY,7.59,104,24.5,17.4,3.71,5.1,6.05,5.1,0.82,17.6,12,2,11.1,1.13,0.3125,0.291,11.6
AISC-HSS-RECT-HSS12X3X_188,HSS-RECT,HSS12X3X.188,HSS12X3X3/16,AISC-SHAPES,16.0,18.35,US_CUSTOMARY,5.02,79.6,17.5,13.3,3.98,8.72,6.4,5.81,1.32,26.8,12,3,11.5,2.48,0.1875,0.174,11.6
AISC-HSS-RECT-HSS12X3X_250,HSS-RECT,HSS12X3X.250,HSS12X3X1/4,AISC-SHAPES,16.0,24.12,US_CUSTOMARY,6.63,103,22.9,17.2,3.94,11.1,8.28,7.38,1.29,34.5,12,3,11.3,2.3,0.25,0.233,15.1
AISC-HSS-RECT-HSS12X3X_313,HSS-RECT,HSS12X3X.313,HSS12X3X5/16,AISC-SHAPES,16.0,29.72,US_CUSTOMARY,8.17,124,27.9,20.7,3.9,13.1,10,8.73,1.27,41.3,12,3,11.1,2.13,0.3125,0.291,18.4
AISC-HSS-RECT-HSS12X4X_188,HSS-RECT,HSS12X4X.188,HSS12X4X3/16,AISC-SHAPES,16.0,19.63,US_CUSTOMARY,5.37,91.8,19.6,15.3,4.13,16.4,9,8.2,1.75,46.1,12,4,11.5,3.48,0.1875,0.174,15.7
AISC-HSS-RECT-HSS12X4X_250,HSS-RECT,HSS12X4X.250,HSS12X4X1/4,AISC-SHAPES,16.0,25.82,US_CUSTOMARY,7.1,119,25.6,19.9,4.1,21,11.7,10.5,1.72,59.8,12,4,11.3,3.3,0.25,0.233,20.6
AISC-HSS-RECT-HSS12X4X_313,HSS-RECT,HSS12X4X.313,HSS12X4X5/16,AISC-SHAPES,16.0,31.84,US_CUSTOMARY,8.76,144,31.3,24.1,4.06,25.2,14.2,12.6,1.7,72.4,12,4,11.1,3.13,0.3125,0.291,25.2
AISC-HSS-RECT-HSS12X4X_375,HSS-RECT,HSS12X4X.375,HSS12X4X3/8,AISC-SHAPES,16.0,37.69,US_CUSTOMARY,10.4,168,36.7,28,4.02,28.9,16.6,14.5,1.67,84.1,12,4,11,2.95,0.375,0.349,29.5
AISC-HSS-RECT-HSS12X4X_500,HSS-RECT,HSS12X4X.500,HSS12X4X1/2,AISC-SHAPES,16.0,48.85,US_CUSTOMARY,13.5,210,46.7,34.9,3.95,35.3,20.9,17.7,1.62,105,12,4,10.6,2.6,0.5,0.465,37.5
AISC-HSS-RECT-HSS12X4X_625,HSS-RECT,HSS12X4X.625,HSS12X4X5/8,AISC-SHAPES,16.0,59.32,US_CUSTOMARY,16.4,245,55.5,40.8,3.87,40.4,24.5,20.2,1.57,122,12,4,10.3,2.26,0.625,0.581,44.6
AISC-HSS-RECT-HSS12X6X_188,HSS-RECT,HSS12X6X.188,HSS12X6X3/16,AISC-SHAPES,16.0,22.18,US_CUSTOMARY,6.06,116,23.7,19.4,4.38,40,14.7,13.3,2.57,94.6,12,6,11.5,5.48,0.1875,0.174,24
AISC-HSS-RECT-HSS12X6X_250,HSS-RECT,HSS12X6X.250,HSS12X6X1/4,AISC-SHAPES,16.0,29.23,US_CUSTOMARY,8.03,151,31.1,25.2,4.34,51.9,19.3,17.3,2.54,124,12,6,11.3,5.3,0.25,0.233,31.6
AISC-HSS-RECT-HSS12X6X_313,HSS-RECT,HSS12X6X.313,HSS12X6X5/16,AISC-SHAPES,16.0,36.1,US_CUSTOMARY,9.92,184,38.1,30.7,4.31,62.8,23.6,20.9,2.52,152,12,6,11.1,5.13,0.3125,0.291,38.8
AISC-HSS-RECT-HSS12X6X_375,HSS-RECT,HSS12X6X.375,HSS12X6X3/8,AISC-SHAPES,16.0,42.79,US_CUSTOMARY,11.8,215,44.8,35.9,4.28,72.9,27.7,24.3,2.49,178,12,6,11,4.95,0.375,0.349,45.8
AISC-HSS-RECT-HSS12X6X_500,HSS-RECT,HSS12X6X.500,HSS12X6X1/2,AISC-SHAPES,16.0,55.66,US_CUSTOMARY,15.3,271,57.4,45.2,4.21,91.1,35.2,30.4,2.44,227,12,6,10.6,4.61,0.5,0.465,59
AISC-HSS-RECT-HSS12X6X_625,HSS-RECT,HSS12X6X.625,HSS12X6X5/8,AISC-SHAPES,16.0,67.82,US_CUSTOMARY,18.7,321,68.8,53.4,4.14,107,42.1,35.5,2.39,271,12,6,10.3,4.26,0.625,0.581,71.1
AISC-HSS-RECT-HSS12X8X_188,HSS-RECT,HSS12X8X.188,HSS12X8X3/16,AISC-SHAPES,16.0,24.73,US_CUSTOMARY,6.76,140,27.8,23.4,4.56,75.7,21.1,18.9,3.35,153,12,8,11.5,7.48,0.1875,0.174,32.2
AISC-HSS-RECT-HSS12X8X_250,HSS-RECT,HSS12X8X.250,HSS12X8X1/4,AISC-SHAPES,16.0,32.63,US_CUSTOMARY,8.96,184,36.6,30.6,4.53,98.8,27.8,24.7,3.32,202,12,8,11.3,7.3,0.25,0.233,42.5
AISC-HSS-RECT-HSS12X8X_313,HSS-RECT,HSS12X8X.313,HSS12X8X5/16,AISC-SHAPES,16.0,40.35,US_CUSTOMARY,11.1,224,44.9,37.4,4.5,120,34.1,30.1,3.29,248,12,8,11.1,7.13,0.3125,0.291,52.4
