sectionId,family,ediDesignation,manualLabel,sourceId,sourceRevision,weightPerLength,nativeUnitSystem,A,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,d,b,t,kdes,kdet,x,y,xp,yp,Iz,rz,Sz,Cw,ro,H,tanAlpha,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,PA,PA2,PB
AISC-L-L10X10X1,L,L10X10X1,L10X10X1,AISC-SHAPES,16.0,64.7,US_CUSTOMARY,19,177,45,24.8,3.05,177,45,24.8,3.05,6.46,10,10,1,1.8,1.8125,2.86,2.86,0.95,0.95,70.4,1.92,17.4,47.6,5.46,0.626,0.9999999999999999,284,6.72,0,6.72,3.38,4.04,3.38,42.3,,42.3,20.8,17.4,20.8,30,30,40
AISC-L-L10X10X1_1_4,L,L10X10X1-1/4,L10X10X1-1/4,AISC-SHAPES,16.0,79.9,US_CUSTOMARY,23.4,213,54.9,30.2,3.02,213,54.9,30.2,3.02,12.3,10,10,1.25,2.05,2.0625,2.95,2.95,1.17,1.17,85.4,1.91,20.5,89.4,5.39,0.628,0.9999999999999999,341,6.63,0,6.63,3.34,4.17,3.34,51.4,,51.4,25.6,20.5,25.6,30,30,40
AISC-L-L10X10X1_1_8,L,L10X10X1-1/8,L10X10X1-1/8,AISC-SHAPES,16.0,72.3,US_CUSTOMARY,21.3,196,50.2,27.6,3.03,196,50.2,27.6,3.03,9.21,10,10,1.13,1.93,1.9375,2.9,2.9,1.07,1.07,78.2,1.92,19.1,67.3,5.41,0.627,0.9999999999999999,314,6.67,0,6.67,3.37,4.1,3.37,47.1,,47.1,23.2,19.1,23.2,30,30,40
AISC-L-L10X10X1_3_8,L,L10X10X1-3/8,L10X10X1-3/8,AISC-SHAPES,16.0,87.1,US_CUSTOMARY,25.6,231,59.9,33,3,231,59.8,33,3,16.4,10,10,1.38,2.18,2.1875,3,3,1.28,1.28,93.3,1.91,22,118,5.36,0.629,0.9999999999999999,369,6.58,0,6.58,3.32,4.24,3.32,56.1,,56.1,28.1,22,28.1,30,30,40
AISC-L-L10X10X3_4,L,L10X10X3/4,L10X10X3/4,AISC-SHAPES,16.0,49.1,US_CUSTOMARY,14.5,139,34.6,19.2,3.1,139,34.6,19.2,3.1,2.8,10,10,0.75,1.55,1.5625,2.76,2.76,0.725,0.725,55.7,1.96,14.3,20.9,5.53,0.628,0.9999999999999999,222,6.81,0,6.81,3.43,3.9,3.43,32.6,,32.6,16.2,14.3,16.2,30,30,40
AISC-L-L10X10X7_8,L,L10X10X7/8,L10X10X7/8,AISC-SHAPES,16.0,56.9,US_CUSTOMARY,16.8,158,39.9,21.9,3.07,158,39.9,21.9,3.07,4.39,10,10,0.875,1.68,1.6875,2.8,2.8,0.84,0.84,62.8,1.93,15.9,32.5,5.47,0.627,0.9999999999999999,253,6.76,0,6.76,3.42,3.96,3.42,37.4,,37.4,18.4,15.9,18.4,30,30,40
AISC-L-L12X12X1,L,L12X12X1,L12X12X1,AISC-SHAPES,16.0,77.8,US_CUSTOMARY,23,315,65.9,36.5,3.7,315,65.9,36.5,3.7,7.8,12,12,1,1.71,1.6875,3.36,3.36,0.958,0.958,126,2.34,26.5,84.5,6.61,0.626,0.9999999999999999,504,8.13,0,8.13,4.09,4.75,4.09,62,,62,30.8,26.5,30.8,36,36,48
AISC-L-L12X12X1_1_4,L,L12X12X1-1/4,L12X12X1-1/4,AISC-SHAPES,16.0,96.4,US_CUSTOMARY,28.4,381,80.7,44.6,3.66,381,80.7,44.6,3.66,14.9,12,12,1.25,1.96,1.9375,3.45,3.45,1.18,1.18,152,2.31,31.1,160,6.54,0.627,0.9999999999999999,610,8.04,0,8.04,4.05,4.88,4.05,75.9,,75.9,37.5,31.1,37.5,36,36,48
AISC-L-L12X12X1_1_8,L,L12X12X1-1/8,L12X12X1-1/8,AISC-SHAPES,16.0,87.2,US_CUSTOMARY,25.8,350,73.7,40.7,3.68,350,73.7,40.7,3.68,11.1,12,12,1.13,1.84,1.8125,3.41,3.41,1.08,1.08,140,2.33,29,120,6.58,0.626,0.9999999999999999,560,8.09,0,8.09,4.06,4.82,4.06,69.2,,69.2,34.5,29,34.5,36,36,48
AISC-L-L12X12X1_3_8,L,L12X12X1-3/8,L12X12X1-3/8,AISC-SHAPES,16.0,105,US_CUSTOMARY,31.1,413,88.1,48.6,3.64,413,88.1,48.6,3.64,19.9,12,12,1.38,2.09,2.0625,3.5,3.5,1.3,1.3,165,2.3,33.3,211,6.51,0.627,0.9999999999999999,661,8,0,8,4.02,4.95,4.02,82.6,,82.6,41,33.3,41,36,36,48
