sectionId,family,ediDesignation,manualLabel,sourceId,sourceRevision,weightPerLength,nativeUnitSystem,A,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,d,ddet,bf,bfdet,tw,twdet,twdet_2,tf,tfdet,kdes,kdet,k1,T,WGi,WGo,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD
AISC-S-S10X25_4,S,S10X25.4,S10X25.4,AISC-SHAPES,16.0,25.4,US_CUSTOMARY,7.45,123,28.3,24.6,4.07,6.73,4.99,2.89,0.95,0.603,10,10,4.66,4.625,0.311,0.3125,0.1875,0.491,0.5,1.13,1.125,,7.75,2.75,,152,11.1,6.34,5.08,14,1.14,9.51,31.5,36.1,24.7,29.3
AISC-S-S10X35,S,S10X35,S10X35,AISC-SHAPES,16.0,35,US_CUSTOMARY,10.3,147,35.4,29.4,3.78,8.3,6.19,3.36,0.899,1.29,10,10,4.94,5,0.594,0.625,0.3125,0.491,0.5,1.13,1.125,,7.75,2.75,,188,11.8,7.13,5.08,17.6,1.16,9.51,31.7,36.7,24.9,29.9
AISC-S-S12X31_8,S,S12X31.8,S12X31.8,AISC-SHAPES,16.0,31.8,US_CUSTOMARY,9.31,217,41.8,36.2,4.83,9.33,6.44,3.73,1,0.878,12,12,5,5,0.35,0.375,0.1875,0.544,0.5625,1.19,1.1875,,9.625,3,,306,14.3,9.74,7.24,20.8,1.21,11.5,36.3,41.3,29,34
AISC-S-S12X35,S,S12X35,S12X35,AISC-SHAPES,16.0,35,US_CUSTOMARY,10.2,228,44.6,38.1,4.72,9.84,6.8,3.88,0.98,1.05,12,12,5.08,5.125,0.428,0.4375,0.25,0.544,0.5625,1.19,1.1875,,9.625,3,,323,14.5,10,7.24,22.2,1.22,11.5,36.4,41.5,29.1,34.2
AISC-S-S12X40_8,S,S12X40.8,S12X40.8,AISC-SHAPES,16.0,40.8,US_CUSTOMARY,11.9,270,52.7,45.1,4.76,13.5,8.86,5.13,1.06,1.69,12,12,5.25,5.25,0.462,0.4375,0.25,0.659,0.6875,1.44,1.4375,,9.125,3,,433,14.9,12.9,8.95,26.2,1.3,11.3,36.6,41.9,29.3,34.5
AISC-S-S12X50,S,S12X50,S12X50,AISC-SHAPES,16.0,50,US_CUSTOMARY,14.7,303,60.9,50.6,4.55,15.6,10.3,5.69,1.03,2.77,12,12,5.48,5.5,0.687,0.6875,0.375,0.659,0.6875,1.44,1.4375,,9.125,3,,501,15.5,14,8.95,30.3,1.32,11.3,36.9,42.4,29.5,35
AISC-S-S15X42_9,S,S15X42.9,S15X42.9,AISC-SHAPES,16.0,42.9,US_CUSTOMARY,12.6,446,69.2,59.4,5.95,14.3,9.08,5.19,1.06,1.54,15,15,5.5,5.5,0.411,0.4375,0.25,0.622,0.625,1.38,1.375,,12.25,3.5,,737,19.8,16.9,11.4,34.3,1.31,14.4,43.4,48.9,35.5,41
AISC-S-S15X50,S,S15X50,S15X50,AISC-SHAPES,16.0,50,US_CUSTOMARY,14.7,485,77,64.7,5.75,15.6,10,5.53,1.03,2.12,15,15,5.64,5.625,0.55,0.5625,0.3125,0.622,0.625,1.38,1.375,,12.25,3.5,,805,20.3,17.8,11.4,38.2,1.32,14.4,43.6,49.2,35.6,41.3
AISC-S-S18X54_7,S,S18X54.7,S18X54.7,AISC-SHAPES,16.0,54.7,US_CUSTOMARY,16,801,104,89,7.07,20.7,12.1,6.91,1.14,2.33,18,18,6,6,0.461,0.4375,0.25,0.691,0.6875,1.5,1.5,,15,3.5,,1550,26,26.9,16.6,51.8,1.42,17.3,50.7,56.7,42,48
AISC-S-S18X70,S,S18X70,S18X70,AISC-SHAPES,16.0,70,US_CUSTOMARY,20.5,923,124,103,6.7,24,14.3,7.69,1.08,4.1,18,18,6.25,6.25,0.711,0.6875,0.375,0.691,0.6875,1.5,1.5,,15,3.5,,1800,27,29.2,16.6,61.9,1.42,17.3,50.9,57.2,42.3,48.5
