sectionId,family,ediDesignation,manualLabel,sourceId,sourceRevision,weightPerLength,nativeUnitSystem,A,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,T_F,d,ddet,bf,bfdet,tw,twdet,twdet_2,tf,tfdet,kdes,kdet,k1,T,WGi,WGo,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD
AISC-W-W10X100,W,W10X100,W10X100,AISC-SHAPES,16.0,100,US_CUSTOMARY,29.3,623,130,112,4.6,207,61,40,2.65,10.9,false,11.1,11.125,10.3,10.375,0.68,0.6875,0.375,1.12,1.125,1.62,1.8125,1,7.5,5.5,,5150,25.7,74.1,26.9,64.2,3.04,10,50.9,61.2,32.5,42.8
AISC-W-W10X112,W,W10X112,W10X112,AISC-SHAPES,16.0,112,US_CUSTOMARY,32.9,716,147,126,4.66,236,69.2,45.3,2.68,15.1,false,11.4,11.375,10.4,10.375,0.755,0.75,0.375,1.25,1.25,1.75,1.9375,1,7.5,5.5,,6020,26.4,85.8,30.6,73.5,3.08,10.2,51.6,62,33.2,43.6
AISC-W-W10X12,W,W10X12,W10X12,AISC-SHAPES,16.0,12,US_CUSTOMARY,3.54,53.8,12.6,10.9,3.9,2.18,1.74,1.1,0.785,0.0547,false,9.87,9.875,3.96,4,0.19,0.1875,0.125,0.21,0.1875,0.51,0.75,0.5625,8.375,2.25,,50.9,9.56,1.99,1.91,6.14,0.983,9.66,30.7,34.7,23.7,27.7
AISC-W-W10X15,W,W10X15,W10X15,AISC-SHAPES,16.0,15,US_CUSTOMARY,4.41,68.9,16,13.8,3.95,2.89,2.3,1.45,0.81,0.104,false,9.99,10,4,4,0.23,0.25,0.125,0.27,0.25,0.57,0.8125,0.5625,8.375,2.25,,68.3,9.73,2.63,2.48,7.83,1.01,9.72,31,35,24,28
AISC-W-W10X17,W,W10X17,W10X17,AISC-SHAPES,16.0,17,US_CUSTOMARY,4.99,81.9,18.7,16.2,4.05,3.56,2.8,1.78,0.845,0.156,false,10.1,10.125,4.01,4,0.24,0.25,0.125,0.33,0.3125,0.63,0.875,0.5625,8.375,2.25,,85.1,9.79,3.24,3.04,9.14,1.04,9.77,31.2,35.2,24.2,28.2
AISC-W-W10X19,W,W10X19,W10X19,AISC-SHAPES,16.0,19,US_CUSTOMARY,5.62,96.3,21.6,18.8,4.14,4.29,3.35,2.14,0.874,0.233,false,10.2,10.25,4.02,4,0.25,0.25,0.125,0.395,0.375,0.695,0.9375,0.625,8.375,2.25,,104,9.85,3.91,3.65,10.6,1.06,9.81,31.5,35.5,24.4,28.4
AISC-W-W10X22,W,W10X22,W10X22,AISC-SHAPES,16.0,22,US_CUSTOMARY,6.49,118,26,23.2,4.27,11.4,6.1,3.97,1.33,0.239,false,10.2,10.125,5.75,5.75,0.24,0.25,0.125,0.36,0.375,0.66,0.9375,0.625,8.25,2.75,,275,14.1,7.32,4.88,12.9,1.55,9.84,36.6,42.4,26.2,31.9
AISC-W-W10X26,W,W10X26,W10X26,AISC-SHAPES,16.0,26,US_CUSTOMARY,7.61,144,31.3,27.9,4.35,14.1,7.5,4.89,1.36,0.402,false,10.3,10.375,5.77,5.75,0.26,0.25,0.125,0.44,0.4375,0.74,1.0625,0.6875,8.25,2.75,,345,14.2,9.03,5.98,15.4,1.58,9.86,36.8,42.6,26.4,32.1
AISC-W-W10X30,W,W10X30,W10X30,AISC-SHAPES,16.0,30,US_CUSTOMARY,8.84,170,36.6,32.4,4.38,16.7,8.84,5.75,1.37,0.622,false,10.5,10.5,5.81,5.75,0.3,0.3125,0.1875,0.51,0.5,0.81,1.125,0.6875,8.25,2.75,,414,14.5,10.7,7.02,18.2,1.6,9.99,37.3,43.1,26.8,32.6
AISC-W-W10X33,W,W10X33,W10X33,AISC-SHAPES,16.0,33,US_CUSTOMARY,9.71,171,38.8,35,4.19,36.6,14,9.2,1.94,0.583,false,9.73,9.75,7.96,8,0.29,0.3125,0.1875,0.435,0.4375,0.935,1.125,0.75,7.5,5.5,,791,18.5,16,7.75,18.9,2.2,9.3,41.9,49.9,27.4,35.4
AISC-W-W10X39,W,W10X39,W10X39,AISC-SHAPES,16.0,39,US_CUSTOMARY,11.5,209,46.8,42.1,4.27,45,17.2,11.3,1.98,0.976,false,9.92,9.875,7.99,8,0.315,0.3125,0.1875,0.53,0.5,1.03,1.1875,0.8125,7.5,5.5,,992,18.8,19.9,9.55,23,2.24,9.39,42.3,50.3,27.8,35.8
AISC-W-W10X45,W,W10X45,W10X45,AISC-SHAPES,16.0,45,US_CUSTOMARY,13.3,248,54.9,49.1,4.32,53.4,20.3,13.3,2.01,1.51,false,10.1,10.125,8.02,8,0.35,0.375,0.1875,0.62,0.625,1.12,1.3125,0.8125,7.5,5.5,,1200,19,23.6,11.3,27,2.27,9.48,42.7,50.7,28.2,36.2
AISC-W-W10X49,W,W10X49,W10X49,AISC-SHAPES,16.0,49,US_CUSTOMARY,14.4,272,60.4,54.6,4.35,93.4,28.3,18.7,2.54,1.39,false,10,10,10,10,0.34,0.3125,0.1875,0.56,0.5625,1.06,1.25,0.8125,7.5,5.5,,2070,23.6,33,12.8,29.8,2.84,9.44,48.5,58.5,30,40
AISC-W-W10X54,W,W10X54,W10X54,AISC-SHAPES,16.0,54,US_CUSTOMARY,15.8,303,66.6,60,4.37,103,31.3,20.6,2.56,1.82,false,10.1,10.125,10,10,0.37,0.375,0.1875,0.615,0.625,1.12,1.3125,0.8125,7.5,5.5,,2320,23.7,36.5,14,32.8,2.85,9.49,48.6,58.6,30.2,40.2
AISC-W-W10X60,W,W10X60,W10X60,AISC-SHAPES,16.0,60,US_CUSTOMARY,17.7,341,74.6,66.7,4.39,116,35,23,2.57,2.48,false,10.2,10.25,10.1,10.125,0.42,0.4375,0.25,0.68,0.6875,1.18,1.375,0.8125,7.5,5.5,,2640,24,41.3,15.7,36.8,2.88,9.52,49,59.1,30.5,40.6
AISC-W-W10X68,W,W10X68,W10X68,AISC-SHAPES,16.0,68,US_CUSTOMARY,19.9,394,85.3,75.7,4.44,134,40.1,26.4,2.59,3.56,false,10.4,10.375,10.1,10.125,0.47,0.5,0.25,0.77,0.75,1.27,1.4375,0.875,7.5,5.5,,3100,24.3,47.3,17.9,42.1,2.92,9.63,49.3,59.4,30.9,41
AISC-W-W10X77,W,W10X77,W10X77,AISC-SHAPES,16.0,77,US_CUSTOMARY,22.7,455,97.6,85.9,4.49,154,45.9,30.1,2.6,5.11,false,10.6,10.625,10.2,10.25,0.53,0.5,0.25,0.87,0.875,1.37,1.5625,0.875,7.5,5.5,,3630,24.8,55,20.5,48.4,2.95,9.73,49.9,60.1,31.4,41.6
AISC-W-W10X88,W,W10X88,W10X88,AISC-SHAPES,16.0,88,US_CUSTOMARY,26,534,113,98.5,4.54,179,53.1,34.8,2.63,7.53,false,10.8,10.875,10.3,10.25,0.605,0.625,0.3125,0.99,1,1.49,1.6875,0.9375,7.5,5.5,,4330,25.3,64.4,23.5,55.9,2.99,9.81,50.4,60.7,31.9,42.2
AISC-W-W12X106,W,W12X106,W12X106,AISC-SHAPES,16.0,106,US_CUSTOMARY,31.2,933,164,145,5.47,301,75.1,49.3,3.11,9.13,false,12.9,12.875,12.2,12.25,0.61,0.625,0.3125,0.99,1,1.59,1.875,1.125,9.125,5.5,,10700,36.3,110,34.2,81,3.52,11.9,60.2,72.4,38,50.2
AISC-W-W12X120,W,W12X120,W12X120,AISC-SHAPES,16.0,120,US_CUSTOMARY,35.2,1070,186,163,5.51,345,85.4,56,3.13,12.9,false,13.1,13.125,12.3,12.375,0.71,0.6875,0.375,1.11,1.125,1.7,2,1.1875,9.125,5.5,,12400,36.9,126,38.6,92.4,3.56,12,60.7,73,38.5,50.8
AISC-W-W12X136,W,W12X136,W12X136,AISC-SHAPES,16.0,136,US_CUSTOMARY,39.9,1240,214,186,5.58,398,98,64.2,3.16,18.5,false,13.4,13.375,12.4,12.375,0.79,0.8125,0.4375,1.25,1.25,1.85,2.125,1.25,9.125,5.5,,14700,37.7,146,44.1,106,3.61,12.2,61.4,73.8,39.2,51.6
AISC-W-W12X14,W,W12X14,W12X14,AISC-SHAPES,16.0,14,US_CUSTOMARY,4.16,88.6,17.4,14.9,4.62,2.36,1.9,1.19,0.753,0.0704,false,11.9,11.875,3.97,4,0.2,0.1875,0.125,0.225,0.25,0.525,0.75,0.5625,10.375,2.25,,80.4,11.6,2.59,2.48,8.49,0.961,11.7,34.8,38.8,27.8,31.7
AISC-W-W12X152,W,W12X152,W12X152,AISC-SHAPES,16.0,152,US_CUSTOMARY,44.7,1430,243,209,5.66,454,111,72.8,3.19,25.8,false,13.7,13.75,12.5,12.5,0.87,0.875,0.4375,1.4,1.375,2,2.3125,1.25,9.125,5.5,,17200,38.4,168,50.1,121,3.66,12.3,62.1,74.6,39.9,52.4
AISC-W-W12X16,W,W12X16,W12X16,AISC-SHAPES,16.0,16,US_CUSTOMARY,4.71,103,20.1,17.1,4.67,2.82,2.26,1.41,0.773,0.103,false,12,12,3.99,4,0.22,0.25,0.125,0.265,0.25,0.565,0.8125,0.5625,10.375,2.25,,96.9,11.7,3.09,2.93,9.82,0.983,11.7,35,39,28,32
AISC-W-W12X170,W,W12X170,W12X170,AISC-SHAPES,16.0,170,US_CUSTOMARY,50,1650,275,235,5.74,517,126,82.3,3.22,35.6,false,14,14,12.6,12.625,0.96,0.9375,0.5,1.56,1.5625,2.16,2.4375,1.3125,9.125,5.5,,20100,39.2,193,56.5,136,3.7,12.4,62.9,75.5,40.6,53.2
AISC-W-W12X19,W,W12X19,W12X19,AISC-SHAPES,16.0,19,US_CUSTOMARY,5.57,130,24.7,21.3,4.82,3.76,2.98,1.88,0.822,0.18,false,12.2,12.125,4.01,4,0.235,0.25,0.125,0.35,0.375,0.65,0.875,0.5625,10.375,2.25,,131,11.9,4.17,3.91,12.2,1.02,11.9,35.5,39.5,28.4,32.4
AISC-W-W12X190,W,W12X190,W12X190,AISC-SHAPES,16.0,190,US_CUSTOMARY,56,1890,311,263,5.82,589,143,93,3.25,48.8,false,14.4,14.375,12.7,12.625,1.06,1.0625,0.5625,1.74,1.75,2.33,2.625,1.375,9.125,5.5,,23600,40.2,222,64.1,156,3.77,12.7,63.8,76.5,41.5,54.2
AISC-W-W12X210,W,W12X210,W12X210,AISC-SHAPES,16.0,210,US_CUSTOMARY,61.8,2140,348,292,5.89,664,159,104,3.28,64.7,false,14.7,14.75,12.8,12.75,1.18,1.1875,0.625,1.9,1.875,2.5,2.8125,1.4375,9.125,5.5,,27200,41,249,70.6,173,3.81,12.8,64.4,77.2,42.2,55
AISC-W-W12X22,W,W12X22,W12X22,AISC-SHAPES,16.0,22,US_CUSTOMARY,6.48,156,29.3,25.4,4.91,4.66,3.66,2.31,0.848,0.293,false,12.3,12.25,4.03,4,0.26,0.25,0.125,0.425,0.4375,0.725,0.9375,0.625,10.375,2.25,,164,12,5.12,4.76,14.4,1.04,11.9,35.7,39.7,28.6,32.7
AISC-W-W12X230,W,W12X230,W12X230,AISC-SHAPES,16.0,230,US_CUSTOMARY,67.7,2420,386,321,5.97,742,177,115,3.31,83.8,true,15.1,15,12.9,12.875,1.29,1.3125,0.6875,2.07,2.0625,2.67,2.9375,1.5,9.125,5.5,,31200,42,281,78.3,193,3.87,13,65.3,78.2,43.1,56
AISC-W-W12X252,W,W12X252,W12X252,AISC-SHAPES,16.0,252,US_CUSTOMARY,74.1,2720,428,353,6.06,828,196,127,3.34,108,true,15.4,15.375,13,13,1.4,1.375,0.6875,2.25,2.25,2.85,3.125,1.5,9.125,5.5,,35800,42.7,313,85.8,213,3.93,13.2,66,79,43.8,56.8
AISC-W-W12X26,W,W12X26,W12X26,AISC-SHAPES,16.0,26,US_CUSTOMARY,7.65,204,37.2,33.4,5.17,17.3,8.17,5.34,1.51,0.3,false,12.2,12.25,6.49,6.5,0.23,0.25,0.125,0.38,0.375,0.68,1.0625,0.75,10.125,3.5,,607,19.2,11.8,7.03,18.3,1.75,11.8,42.9,49.4,30.9,37.4
AISC-W-W12X279,W,W12X279,W12X279,AISC-SHAPES,16.0,279,US_CUSTOMARY,81.9,3110,481,393,6.16,937,220,143,3.38,143,true,15.9,15.875,13.1,13.125,1.53,1.5,0.75,2.47,2.5,3.07,3.375,1.625,9.125,5.5,,42000,44,356,96,240,4,13.4,67,80.1,44.9,58
AISC-W-W12X30,W,W12X30,W12X30,AISC-SHAPES,16.0,30,US_CUSTOMARY,8.79,238,43.1,38.6,5.21,20.3,9.56,6.24,1.52,0.457,false,12.3,12.375,6.52,6.5,0.26,0.25,0.125,0.44,0.4375,0.74,1.125,0.75,10.125,3.5,,720,19.3,13.9,8.17,21.3,1.77,11.9,43.1,49.6,31.1,37.6
AISC-W-W12X305,W,W12X305,W12X305,AISC-SHAPES,16.0,305,US_CUSTOMARY,89.5,3550,537,435,6.29,1050,244,159,3.42,185,true,16.3,16.375,13.2,13.25,1.63,1.625,0.8125,2.71,2.6875,3.3,3.625,1.625,9.125,5.5,,48600,44.8,401,107,267,4.05,13.6,67.9,81.1,45.8,59
AISC-W-W12X336,W,W12X336,W12X336,AISC-SHAPES,16.0,336,US_CUSTOMARY,98.9,4060,603,483,6.41,1190,274,177,3.47,243,true,16.8,16.875,13.4,13.375,1.78,1.75,0.875,2.96,2.9375,3.55,3.875,1.6875,9.125,5.5,,57000,46.4,460,119,301,4.13,13.8,69.2,82.6,47,60.4
AISC-W-W12X35,W,W12X35,W12X35,AISC-SHAPES,16.0,35,US_CUSTOMARY,10.3,285,51.2,45.6,5.25,24.5,11.5,7.47,1.54,0.741,false,12.5,12.5,6.56,6.5,0.3,0.3125,0.1875,0.52,0.5,0.82,1.1875,0.75,10.125,3.5,,879,19.6,16.8,9.75,25.4,1.79,12,43.5,50.1,31.6,38.1
AISC-W-W12X40,W,W12X40,W12X40,AISC-SHAPES,16.0,40,US_CUSTOMARY,11.7,307,57,51.5,5.13,44.1,16.8,11,1.94,0.906,false,11.9,12,8.01,8,0.295,0.3125,0.1875,0.515,0.5,1.02,1.375,0.875,9.25,5.5,,1440,22.8,23.5,11.3,27.8,2.21,11.4,46.4,54.4,31.8,39.8
